"conceptid";"preflabel";"modified";"altlabel";"definition"
"BE000042";"Acartia bifilosa (ITIS: 86095: WoRMS 104249) [Stage: copepodites C4-C5]";"9/16/2010 01:58:56";"";""
"BE000043";"Acartia bifilosa (ITIS: 86095: WoRMS 104249) [Stage: copepodites C5]";"9/16/2010 01:58:57";"";""
"BE000044";"Acartia bifilosa (ITIS: 86095: WoRMS 104249) [Stage: adult]";"9/16/2010 01:58:56";"";""
"BE000045";"Acartia bifilosa (ITIS: 86095: WoRMS 104249) [Stage: adult Sex: female]";"9/16/2010 01:58:56";"";""
"BE000046";"Acartia bifilosa (ITIS: 86095: WoRMS 104249) [Stage: adult Sex: male]";"9/16/2010 01:58:56";"";""
"BE000047";"Acartia bifilosa (ITIS: 86095: WoRMS 104249)";"9/16/2010 01:58:56";"";""
"BE000048";"Acartia clausi (ITIS: 86085: WoRMS 104251) [Stage: copepodites C1-C3]";"9/16/2010 01:58:56";"";""
"BE000049";"Acartia clausi (ITIS: 86085: WoRMS 104251) [Stage: copepodites C2]";"9/16/2010 01:58:57";"";""
"BE000050";"Acartia clausi (ITIS: 86085: WoRMS 104251) [Stage: copepodites C3]";"9/16/2010 01:58:57";"";""
"BE000051";"Acartia clausi (ITIS: 86085: WoRMS 104251) [Stage: copepodites C4]";"9/16/2010 01:58:56";"";""
"BE000052";"Acartia clausi (ITIS: 86085: WoRMS 104251) [Stage: copepodites C4-C5]";"9/16/2010 01:58:56";"";""
"BE000053";"Acartia clausi (ITIS: 86085: WoRMS 104251) [Stage: copepodites C5]";"9/16/2010 01:58:57";"";""
"BE000054";"Acartia clausi (ITIS: 86085: WoRMS 104251) [Stage: copepodites C5 plus adults]";"9/16/2010 01:58:56";"";""
"BE000055";"Acartia clausi (ITIS: 86085: WoRMS 104251) [Stage: adult]";"9/16/2010 01:58:56";"";""
"BE000056";"Acartia clausi (ITIS: 86085: WoRMS 104251) [Stage: adult Sex: female]";"9/16/2010 01:58:57";"";""
"BE000057";"Acartia clausi (ITIS: 86085: WoRMS 104251) [Stage: adult Sex: male]";"9/16/2010 01:58:57";"";""
"BE000058";"Acartia clausi (ITIS: 86085: WoRMS 104251)";"9/16/2010 01:58:56";"";""
"BE000059";"Acartia discaudata (ITIS: 86096: WoRMS 104253) [Stage: copepodites C4-C5]";"9/16/2010 01:58:56";"";""
"BE000060";"Acartia discaudata (ITIS: 86096: WoRMS 104253) [Stage: adult]";"9/16/2010 01:58:57";"";""
"BE000061";"Acartia discaudata (ITIS: 86096: WoRMS 104253) [Stage: adult Sex: female]";"9/16/2010 01:58:57";"";""
"BE000062";"Acartia discaudata (ITIS: 86096: WoRMS 104253) [Stage: adult Sex: male]";"9/16/2010 01:58:56";"";""
"BE000063";"Acartia discaudata (ITIS: 86096: WoRMS 104253)";"9/16/2010 01:58:56";"";""
"BE000064";"Acartia longiremis (ITIS: 86087: WoRMS 104257) [Stage: adult Sex: female]";"9/16/2010 01:58:57";"";""
"BE000065";"Accipiter gentilis (ITIS: 175300: WoRMS 159104)";"9/16/2010 01:58:56";"";""
"BE000066";"Accipiter nisus (ITIS: 175333)";"9/16/2010 01:58:56";"";""
"BE000067";"Acentria ephemerella";"9/16/2010 01:58:57";"";""
"BE000068";"Achelia echinata (ITIS: 83586: WoRMS 134599)";"9/16/2010 01:58:56";"";""
"BE000069";"Achnanthes (ITIS: 3429: WoRMS 149191)";"8/31/2012 15:39:47";"";""
"BE000070";"Achnanthes brevipes (ITIS: 3430: WoRMS 149387)";"9/16/2010 01:58:57";"";""
"BE000071";"Achnanthes delicatula (ITIS: 3471: WoRMS 149384)";"9/16/2010 01:58:56";"";""
"BE000072";"Achnanthes lanceolata (ITIS: 3489: WoRMS 149385)";"9/16/2010 01:58:56";"";""
"BE000073";"Achnanthes longipes (ITIS: 3435: WoRMS 156533)";"9/16/2010 01:58:56";"";""
"BE000074";"Achnanthes minutissima (ITIS: 3521: WoRMS 163582)";"9/16/2010 01:58:56";"";""
"BE000075";"Achnanthes taeniata (ITIS: 3436: WoRMS 156537)";"9/16/2010 01:58:56";"";""
"BE000076";"Acidostoma obesum (ITIS: 202951: WoRMS 102497)";"9/16/2010 01:58:56";"";""
"BE000077";"Acricotopus lucens (ITIS: 128464)";"9/16/2010 01:58:57";"";""
"BE000078";"Acrocnida brachiata (ITIS: 573716: WoRMS 236130)";"9/16/2010 01:58:56";"";""
"BE000079";"Acroloxus (ITIS: 76474: WoRMS 181589)";"8/31/2012 15:39:47";"";""
"BE000080";"Acroloxus lacustris (WoRMS 181590)";"9/16/2010 01:58:56";"";""
"BE000081";"Acroperus (ITIS: 84022: WoRMS 148382)";"8/31/2012 15:39:47";"";""
"BE000082";"Acroperus elongatus";"9/16/2010 01:58:56";"";""
"BE000083";"Acroperus harpae (ITIS: 84023: WoRMS 148407)";"9/16/2010 01:58:56";"";""
"BE000084";"Acteon tornatilis (ITIS: 76051: WoRMS 138691)";"9/16/2010 01:58:56";"";""
"BE000085";"Actinastrum (ITIS: 6098: WoRMS 160542)";"8/31/2012 15:39:47";"";""
"BE000086";"Actinastrum hantzschii (ITIS: 6099: WoRMS 160543)";"9/16/2010 01:58:56";"";""
"BE000087";"Actiniaria (ITIS: 52485: WoRMS 1360)";"9/16/2010 01:58:57";"";""
"BE000088";"Actiniscus (ITIS: 183971: WoRMS 109472)";"8/31/2012 15:39:47";"";""
"BE000089";"Actiniscus pentasterias (ITIS: 183972: WoRMS 109717)";"9/16/2010 01:58:56";"";""
"BE000090";"Actinocyclus (ITIS: 2655: WoRMS 148944) [Size: 50um]";"8/31/2012 15:39:47";"";""
"BE000091";"Actinocyclus (ITIS: 2655: WoRMS 148944)";"8/31/2012 15:39:47";"";""
"BE000092";"Actinocyclus cholnokyi (WoRMS 179603)";"9/16/2010 01:58:56";"";""
"BE000093";"Actinocyclus normanii (ITIS: 2661: WoRMS 148945)";"9/16/2010 01:58:56";"";""
"BE000094";"Actinocyclus normanii f. subsalsa (ITIS: 2662: WoRMS 157433)";"9/16/2010 01:58:56";"";""
"BE000095";"Actinocyclus octonarius (ITIS: 2657: WoRMS 149164)";"9/16/2010 01:58:56";"";""
"BE000096";"Actinocyclus octonarius crassus";"9/16/2010 01:58:57";"";""
"BE000097";"Actinocyclus octonarius octonarius";"9/16/2010 01:58:56";"";""
"BE000098";"Actinocyclus octonarius ralfsii";"9/16/2010 01:58:56";"";""
"BE000099";"Actinocyclus octonarius sparsus";"9/16/2010 01:58:57";"";""
"BE000100";"Actinocyclus octonarius tenella";"9/16/2010 01:58:56";"";""
"BE000101";"Actinocyclus roperi (ITIS: 2660: WoRMS 160651)";"9/16/2010 01:58:56";"";""
"BE000102";"Actinocyclus subtilis (WoRMS 149284)";"9/16/2010 01:58:56";"";""
"BE000103";"Actinodinium (ITIS: 10504)";"8/31/2012 15:39:47";"";""
"BE000104";"Actinoptychus (ITIS: 2618: WoRMS 148947)";"8/31/2012 15:39:47";"";""
"BE000105";"Actinoptychus adriaticus (ITIS: 2619)";"9/16/2010 01:58:56";"";""
"BE000106";"Actinoptychus annulatus";"9/16/2010 01:58:56";"";""
"BE000107";"Actinoptychus senarius (ITIS: 2620: WoRMS 148948)";"9/16/2010 01:58:56";"";""
"BE000108";"Actinoptychus splendens (ITIS: 2621: WoRMS 148949)";"9/16/2010 01:58:56";"";""
"BE000109";"Actinoptychus undulatus (ITIS: 2622: WoRMS 149277) [Size: 100um]";"9/16/2010 01:58:57";"";""
"BE000110";"Actinoptychus undulatus (ITIS: 2622: WoRMS 149277)";"9/16/2010 01:58:57";"";""
"BE000111";"Actinothoe (ITIS: 52694: WoRMS 100773)";"8/31/2012 15:39:47";"";""
"BE000112";"Actitis hypoleucos (ITIS: 176613: WoRMS 212603)";"9/16/2010 01:58:56";"";""
"BE000113";"Adenoides (ITIS: 10461: WoRMS 109525)";"8/31/2012 15:39:47";"";""
"BE000114";"Adyte pellucida (WoRMS 146894)";"9/16/2010 01:58:56";"";""
"BE000115";"Aeolidia papillosa (ITIS: 78728: WoRMS 138709)";"9/16/2010 01:58:57";"";""
"BE000116";"Aeromonas (ITIS: 76)";"8/31/2012 15:39:47";"";""
"BE000117";"Aetideidae (ITIS: 85413: WoRMS 104075) [Stage: copepodites C1-C4]";"9/16/2010 01:58:57";"";""
"BE000118";"Aetideidae (ITIS: 85413: WoRMS 104075) [Stage: copepodites]";"9/16/2010 01:58:57";"";""
"BE000119";"Aetideidae (ITIS: 85413: WoRMS 104075) [Stage: adult Sex: female]";"9/16/2010 01:58:57";"";""
"BE000120";"Aetideidae (ITIS: 85413: WoRMS 104075) [Stage: adult Sex: male]";"9/16/2010 01:58:56";"";""
"BE000121";"Aetideopsis (ITIS: 85414: WoRMS 104111) [Size: 1000-2000um]";"8/31/2012 15:39:47";"";""
"BE000122";"Aetideopsis (ITIS: 85414: WoRMS 104111) [Size: 200-500um]";"8/31/2012 15:39:47";"";""
"BE000123";"Aetideopsis (ITIS: 85414: WoRMS 104111) [Size: 500-1000um]";"8/31/2012 15:39:47";"";""
"BE000124";"Aetideopsis (ITIS: 85414: WoRMS 104111) [Size: >2000um]";"8/31/2012 15:39:47";"";""
"BE000125";"Aetideopsis (ITIS: 85414: WoRMS 104111) [Stage: copepodites]";"8/31/2012 15:39:47";"";""
"BE000126";"Aetideopsis (ITIS: 85414: WoRMS 104111)";"8/31/2012 15:39:47";"";""
"BE000127";"Aetideopsis armata (ITIS: 610028: WoRMS 104267) [Stage: adult Sex: female]";"9/16/2010 01:58:56";"";""
"BE000128";"Aetideopsis multiserrata (ITIS: 85416: WoRMS 104270) [Stage: adult Sex: female]";"9/16/2010 01:58:57";"";""
"BE000129";"Aetideopsis rostrata (ITIS: 85418: WoRMS 104272) [Stage: copepodites]";"9/16/2010 01:58:56";"";""
"BE000130";"Aetideopsis rostrata (ITIS: 85418: WoRMS 104272) [Stage: adult Sex: female]";"9/16/2010 01:58:56";"";""
"BE000131";"Aetideus (ITIS: 85419: WoRMS 104112) [Size: 1000-2000um]";"8/31/2012 15:39:47";"";""
"BE000132";"Aetideus (ITIS: 85419: WoRMS 104112) [Size: 200-500um]";"8/31/2012 15:39:47";"";""
"BE000133";"Aetideus (ITIS: 85419: WoRMS 104112) [Size: 500-1000um]";"8/31/2012 15:39:47";"";""
"BE000134";"Aetideus (ITIS: 85419: WoRMS 104112) [Size: >2000um]";"8/31/2012 15:39:47";"";""
"BE000135";"Aetideus (ITIS: 85419: WoRMS 104112) [Stage: copepodites C1-C4]";"8/31/2012 15:39:47";"";""
"BE000136";"Aetideus (ITIS: 85419: WoRMS 104112) [Stage: copepodites]";"8/31/2012 15:39:47";"";""
"BE000137";"Aetideus (ITIS: 85419: WoRMS 104112)";"8/31/2012 15:39:47";"";""
"BE000138";"Aetideus armatus (ITIS: 85421: WoRMS 104275) [Stage: copepodites C1-C4]";"9/16/2010 01:58:56";"";""
"BE000139";"Aetideus armatus (ITIS: 85421: WoRMS 104275) [Stage: copepodites C5 plus adults]";"9/16/2010 01:58:56";"";""
"BE000140";"Aetideus armatus (ITIS: 85421: WoRMS 104275) [Stage: adult Sex: female]";"9/16/2010 01:58:56";"";""
"BE000141";"Aetideus armatus (ITIS: 85421: WoRMS 104275) [Stage: adult Sex: male]";"9/16/2010 01:58:56";"";""
"BE000142";"Aetideus giesbrechti (ITIS: 85424: WoRMS 104276) [Stage: copepodites C5 plus adults]";"9/16/2010 01:58:57";"";""
"BE000143";"Agabus (ITIS: 111966: WoRMS 150763)";"8/31/2012 15:39:47";"";""
"BE000144";"Aglantha digitalis (ITIS: 51094: WoRMS 157611)";"9/16/2010 01:58:56";"";""
"BE000145";"Agonus cataphractus (ITIS: 167454: WoRMS 127190)";"9/16/2010 01:58:56";"";""
"BE000146";"Agraylea (ITIS: 115635)";"8/31/2012 15:39:47";"";""
"BE000147";"Agraylea multipunctata (ITIS: 115636)";"9/16/2010 01:58:56";"";""
"BE000148";"Agrypnia (ITIS: 115882)";"8/31/2012 15:39:47";"";""
"BE000149";"Agrypnia pagetana (ITIS: 115885)";"9/16/2010 01:58:56";"";""
"BE000150";"Aix galericulata (ITIS: 175123: WoRMS 416679)";"9/16/2010 01:58:56";"";""
"BE000151";"Alca torda (ITIS: 176971: WoRMS 137128)";"9/16/2010 01:58:57";"";""
"BE000152";"Alcedo atthis (ITIS: 554549)";"9/16/2010 01:58:56";"";""
"BE000153";"Alcidae (ITIS: 176967: WoRMS 136987)";"9/16/2010 01:58:57";"";""
"BE000154";"Alcyonidium mytili (ITIS: 155485: WoRMS 111603)";"9/16/2010 01:58:57";"";""
"BE000155";"Alexandrium (ITIS: 183929: WoRMS 109470) [Size: medium]";"8/31/2012 15:39:47";"";""
"BE000156";"Alexandrium (ITIS: 183929: WoRMS 109470)";"8/31/2012 15:39:47";"";""
"BE000157";"Alexandrium leei (WoRMS 109710)";"9/16/2010 01:58:56";"";""
"BE000158";"Alexandrium margalefii (WoRMS 233447)";"9/16/2010 01:58:57";"";""
"BE000159";"Alexandrium minutum (ITIS: 183930: WoRMS 109711)";"9/16/2010 01:58:56";"";""
"BE000160";"Alexandrium ostenfeldii (ITIS: 573527: WoRMS 109712)";"9/16/2010 01:58:57";"";""
"BE000161";"Alexandrium tamarense (ITIS: 573512: WoRMS 109714)";"9/16/2010 01:58:57";"";""
"BE000162";"Algal fragments";"9/16/2010 01:58:57";"";""
"BE000163";"Algirosphaera (WoRMS 235910)";"9/16/2010 01:58:56";"";""
"BE000164";"Alisphaera (WoRMS 235914)";"9/16/2010 01:58:56";"";""
"BE000165";"Alkmaria romijni (WoRMS 129769)";"9/16/2010 01:58:56";"";""
"BE000166";"Alle alle (ITIS: 176982: WoRMS 137129)";"9/16/2010 01:58:56";"";""
"BE000167";"Allomelita pellucida (ITIS: 206486: WoRMS 102789)";"9/16/2010 01:58:56";"";""
"BE000168";"Alona (ITIS: 83974: WoRMS 148383)";"8/31/2012 15:39:47";"";""
"BE000169";"Alona affinis (ITIS: 83979: WoRMS 412807)";"9/16/2010 01:58:57";"";""
"BE000170";"Alona quadrangularis (ITIS: 83980: WoRMS 247976)";"9/16/2010 01:58:56";"";""
"BE000171";"Alona rectangula (ITIS: 83986: WoRMS 148405)";"9/16/2010 01:58:56";"";""
"BE000172";"Alonella (ITIS: 84033)";"8/31/2012 15:39:47";"";""
"BE000173";"Alonella exigua (ITIS: 84040)";"9/16/2010 01:58:57";"";""
"BE000174";"Alonella nana (ITIS: 84034)";"9/16/2010 01:58:56";"";""
"BE000175";"Alopochen aegyptiacus (ITIS: 553909: WoRMS 416680)";"9/16/2010 01:58:57";"";""
"BE000176";"Amallothrix (ITIS: 85627: WoRMS 104221) [Stage: copepodites plus adults]";"8/31/2012 15:39:47";"";""
"BE000177";"Amallothrix gracilis (ITIS: 85641: WoRMS 104771) [Stage: adult Sex: female]";"9/16/2010 01:58:56";"";""
"BE000178";"Amallothrix valida (ITIS: 85635: WoRMS 220858) [Stage: adult Sex: female]";"9/16/2010 01:58:56";"";""
"BE000179";"Amallothrix valida (ITIS: 85635: WoRMS 220858) [Stage: adult Sex: male]";"9/16/2010 01:58:56";"";""
"BE000180";"Ammodytes (ITIS: 171671: WoRMS 125909)";"8/31/2012 15:39:47";"";""
"BE000181";"Ammodytes immaculatus (ITIS: 171675: WoRMS 301925)";"9/16/2010 01:58:56";"";""
"BE000182";"Ammodytes marinus (ITIS: 171677: WoRMS 126751)";"9/16/2010 01:58:56";"";""
"BE000183";"Ammodytes tobianus (ITIS: 171676: WoRMS 126752)";"9/16/2010 01:58:56";"";""
"BE000184";"Ammodytidae (ITIS: 171670: WoRMS 125516)";"9/16/2010 01:58:57";"";""
"BE000185";"Amoeba (ITIS: 43853: WoRMS 120533)";"8/31/2012 15:39:47";"";""
"BE000186";"Amoebophyra (WoRMS 109448)";"9/16/2010 01:58:56";"";""
"BE000187";"Ampelisca brevicornis (ITIS: 93343: WoRMS 101891)";"9/16/2010 01:58:57";"";""
"BE000188";"Ampelisca diadema (ITIS: 202641: WoRMS 101896)";"9/16/2010 01:58:56";"";""
"BE000189";"Ampelisca gibba (ITIS: 202648: WoRMS 101898)";"9/16/2010 01:58:56";"";""
"BE000190";"Ampelisca macrocephala (ITIS: 93322: WoRMS 101908)";"9/16/2010 01:58:56";"";""
"BE000191";"Ampelisca spinipes (ITIS: 93341: WoRMS 101928)";"9/16/2010 01:58:56";"";""
"BE000192";"Ampelisca tenuicornis (ITIS: 202717: WoRMS 101930)";"9/16/2010 01:58:56";"";""
"BE000193";"Ampharete (ITIS: 67727: WoRMS 129155)";"8/31/2012 15:39:47";"";""
"BE000194";"Ampharete acutifrons (ITIS: 67735: WoRMS 129775)";"9/16/2010 01:58:56";"";""
"BE000195";"Ampharete baltica (ITIS: 67743: WoRMS 129776)";"9/16/2010 01:58:57";"";""
"BE000196";"Ampharete cirrata (WoRMS 159917)";"9/16/2010 01:58:57";"";""
"BE000197";"Ampharetidae (ITIS: 67718: WoRMS 981)";"9/16/2010 01:58:56";"";""
"BE000198";"Amphichaeta leydigi (ITIS: 68980)";"9/16/2010 01:58:57";"";""
"BE000199";"Amphidiniopsis (ITIS: 183935: WoRMS 109556)";"8/31/2012 15:39:47";"";""
"BE000200";"Amphidinium (ITIS: 9997: WoRMS 109473) [Size: large]";"8/31/2012 15:39:47";"";""
"BE000201";"Amphidinium (ITIS: 9997: WoRMS 109473) [Size: medium]";"8/31/2012 15:39:47";"";""
"BE000202";"Amphidinium (ITIS: 9997: WoRMS 109473)";"8/31/2012 15:39:47";"";""
"BE000203";"Amphidinium (ITIS: 9997: WoRMS 109473) [Size: small]";"8/31/2012 15:39:47";"";""
"BE000204";"Amphidinium acutissimum (ITIS: 10008: WoRMS 109718)";"9/16/2010 01:58:57";"";""
"BE000205";"Amphidinium amphidinoides";"9/16/2010 01:58:57";"";""
"BE000206";"Amphidinium carterae (ITIS: 183871: WoRMS 109723)";"9/16/2010 01:58:56";"";""
"BE000207";"Amphidinium crassum (ITIS: 10017: WoRMS 109726)";"9/16/2010 01:58:56";"";""
"BE000208";"Amphidinium curvatum (WoRMS 109727)";"9/16/2010 01:58:57";"";""
"BE000209";"Amphidinium flagellans (ITIS: 573327: WoRMS 109728)";"9/16/2010 01:58:57";"";""
"BE000210";"Amphidinium longum (ITIS: 10007: WoRMS 109741)";"9/16/2010 01:58:56";"";""
"BE000211";"Amphidinium operculatum (ITIS: 10001: WoRMS 109744)";"9/16/2010 01:58:56";"";""
"BE000212";"Amphidinium pellucidum (ITIS: 10004: WoRMS 109748)";"9/16/2010 01:58:56";"";""
"BE000213";"Amphidinium sphenoides (ITIS: 10006: WoRMS 109754)";"9/16/2010 01:58:56";"";""
"BE000214";"Amphidoma (ITIS: 10357: WoRMS 109517)";"8/31/2012 15:39:47";"";""
"BE000215";"Amphidoma caudatum (ITIS: 10358)";"9/16/2010 01:58:56";"";""
"BE000216";"Amphikrikos";"9/16/2010 01:58:57";"";""
"BE000217";"Amphikrikos minutissima";"9/16/2010 01:58:56";"";""
"BE000218";"Amphikrikos nanus";"9/16/2010 01:58:56";"";""
"BE000219";"Amphileptidae (ITIS: 46298: WoRMS 163176)";"9/16/2010 01:58:56";"";""
"BE000220";"Amphilochus neapolitanus (ITIS: 93386: WoRMS 101968)";"9/16/2010 01:58:56";"";""
"BE000221";"Amphipholis squamata (ITIS: 157676: WoRMS 125064)";"9/16/2010 01:58:56";"";""
"BE000222";"Amphipleura (ITIS: 4575: WoRMS 160653)";"8/31/2012 15:39:47";"";""
"BE000223";"Amphipoda (ITIS: 93294: WoRMS 1135) [Size: 1000-2000um]";"9/16/2010 01:58:56";"";""
"BE000224";"Amphipoda (ITIS: 93294: WoRMS 1135) [Size: 200-500um]";"9/16/2010 01:58:57";"";""
"BE000225";"Amphipoda (ITIS: 93294: WoRMS 1135) [Size: 500-1000um]";"9/16/2010 01:58:57";"";""
"BE000226";"Amphipoda (ITIS: 93294: WoRMS 1135) [Size: >2000um]";"9/16/2010 01:58:56";"";""
"BE000227";"Amphipoda (ITIS: 93294: WoRMS 1135)";"9/16/2010 01:58:57";"";""
"BE000228";"Amphiprora (ITIS: 4674: WoRMS 149140)";"8/31/2012 15:39:47";"";""
"BE000229";"Amphisolenia (ITIS: 9923: WoRMS 109459)";"8/31/2012 15:39:47";"";""
"BE000230";"Amphisolenia bidentata (ITIS: 9926: WoRMS 109589)";"9/16/2010 01:58:56";"";""
"BE000231";"Amphisolenia globifera (ITIS: 9924: WoRMS 109592)";"9/16/2010 01:58:57";"";""
"BE000232";"Amphisolenia globosa (WoRMS 232132)";"9/16/2010 01:58:56";"";""
"BE000233";"Amphisolenia spinulosa (ITIS: 9925: WoRMS 109597)";"9/16/2010 01:58:57";"";""
"BE000234";"Amphitrite (ITIS: 67900: WoRMS 153508)";"8/31/2012 15:39:47";"";""
"BE000235";"Amphiura (ITIS: 157722: WoRMS 123613)";"8/31/2012 15:39:47";"";""
"BE000236";"Amphiura filiformis (ITIS: 157728: WoRMS 125080)";"9/16/2010 01:58:56";"";""
"BE000237";"Amphiura (ITIS: 157722: WoRMS 123613) [Stage: juvenile]";"8/31/2012 15:39:47";"";""
"BE000238";"Amphora (ITIS: 4705: WoRMS 149200)";"8/31/2012 15:39:47";"";""
"BE000239";"Amphora copulata (WoRMS 163656)";"9/16/2010 01:58:56";"";""
"BE000240";"Amphora laevis (ITIS: 4733: WoRMS 149530)";"9/16/2010 01:58:57";"";""
"BE000241";"Amphora laevis perminuta (ITIS: 4735)";"9/16/2010 01:58:56";"";""
"BE000242";"Amphora ovalis (ITIS: 4721: WoRMS 149524)";"9/16/2010 01:58:57";"";""
"BE000243";"Amphora pediculus (WoRMS 163673)";"9/16/2010 01:58:56";"";""
"BE000244";"Amphorellopsis (WoRMS 136791) [Size: 80-99um]";"9/16/2010 01:58:56";"";""
"BE000245";"Amphorides minor (WoRMS 183565) [Size: 80-99um]";"9/16/2010 01:58:56";"";""
"BE000246";"Amphorides quadrilineata (WoRMS 235769) [Size: >100um]";"9/16/2010 01:58:56";"";""
"BE000247";"Amphorides quadrilineata (WoRMS 235769)";"9/16/2010 01:58:57";"";""
"BE000248";"Anabaena (ITIS: 1100: WoRMS 146585)";"8/31/2012 15:39:47";"";""
"BE000249";"Anabaena circinalis (ITIS: 1104: WoRMS 177640)";"9/16/2010 01:58:56";"";""
"BE000250";"Anabaena crassa (WoRMS 177645)";"9/16/2010 01:58:56";"";""
"BE000251";"Anabaena flosaquae (ITIS: 1109: WoRMS 146588)";"9/16/2010 01:58:56";"";""
"BE000252";"Anabaena lemmermannii minor";"9/16/2010 01:58:56";"";""
"BE000253";"Anabaena planctonica (ITIS: 1117: WoRMS 248094)";"9/16/2010 01:58:56";"";""
"BE000254";"Anabaena solitaria";"9/16/2010 01:58:56";"";""
"BE000255";"Anabaena spiroides (ITIS: 1119: WoRMS 177637)";"9/16/2010 01:58:56";"";""
"BE000256";"Anabaenopsis (ITIS: 1182: WoRMS 146590)";"8/31/2012 15:39:47";"";""
"BE000257";"Anabolia nervosa (ITIS: 115962)";"9/16/2010 01:58:56";"";""
