ID;SDN_P01_code;Aquo_Grootheid_code;Aquo_ChemischeStof_code;Aquo_biotaxon_code;Aquo_Compartiment_code;Aquo_Monstercriterium_code;Aquo_Hoedanigheid_code;D_BEGIN;D_EIND;D_STATUS
233;"RWS00116";"CONCTTE";"pyrpxfn";;"OW";;;11-12-2014;;"G"
234;"RWS00117";"CONCTTE";"simzne";;"OW";;;11-12-2014;;"G"
235;"RWS00118";"CONCTTE";"styrn";;"OW";;;11-12-2014;;"G"
236;"RWS00119";"CONCTTE";"cumn";;"OW";;;11-12-2014;;"G"
237;"RWS00120";"CONCTTE";"tefbzrn";;"OW";;;11-12-2014;;"G"
238;"RWS00121";"CONCTTE";"terbtn";;"OW";;;11-12-2014;;"G"
239;"RWS00122";"CONCTTE";"terC4yazne";;"OW";;;11-12-2014;;"G"
240;"RWS00123";"CONCTTE";"tolcfsC1y";;"OW";;;11-12-2014;;"G"
241;"RWS00124";"CONCTTE";"Tazfs";;"OW";;;11-12-2014;;"G"
242;"RWS00125";"CONCTTE";"Tfrlne";;"OW";;;11-12-2014;;"G"
243;"RWS00126";"CONCTTE";"dHCH";;"OW";;;11-12-2014;;"G"
244;"RWS00127";"CONCTTE";"HxClbtDen";;"OW";;;11-12-2014;;"G"
245;"RWS00128";"CONCTTE";"HxClC2a";;"OW";;;11-12-2014;;"G"
246;"RWS00129";"CONCTTE";"PeClBen";;"OW";;;11-12-2014;;"G"
247;"RWS00130";"CONCTTE";"PeClFol";;"OW";;;11-12-2014;;"G"
248;"RWS00131";"CONCTTE";"c12DClC2e";;"OW";;;11-12-2014;;"G"
249;"RWS00132";"CONCTTE";"t12DClC2e";;"OW";;;11-12-2014;;"G"
250;"RWS00133";"CONCTTE";"HH";;"OW";;;11-12-2014;;"G"
251;"RWS00134";"CONCTTE";"cHpClepO";;"OW";;;11-12-2014;;"G"
252;"RWS00135";"CONCTTE";"tHpClepO";;"OW";;;11-12-2014;;"G"
253;"RWS00136";"CONCTTE";"s4C9yFol";;"OW";;;11-12-2014;;"G"
254;"RWS00137";"CONCTTE";"TClC2e";;"OW";;;11-12-2014;;"G"
255;"RWS00138";"CONCTTE";"simzne";;"OW";;;11-12-2014;;"G"
256;"RWS00139";"CONCTTE";"Durn";;"OW";;;11-12-2014;;"G"
257;"RWS00140";"CONCTTE";"atzne";;"OW";;;11-12-2014;;"G"
258;"RWS00141";"CONCTTE";"As";;"OW";;"nf";11-12-2014;;"G"
259;"RWS00142";"CONCTTE";"Se";;"OW";;"nf";11-12-2014;;"G"
260;"RWS00143";"CONCTTE";"Sb";;"OW";;"nf";11-12-2014;;"G"
261;"RWS00144";"CONCTTE";"B";;"OW";;"nf";11-12-2014;;"G"
262;"RWS00145";"CONCTTE";"Te";;"OW";;"nf";11-12-2014;;"G"
263;"RWS00146";"CONCTTE";"Zn";;"OW";;"nf";11-12-2014;;"G"
264;"RWS00147";"CONCTTE";"Ba";;"OW";;"nf";11-12-2014;;"G"
265;"RWS00148";"CONCTTE";"Be";;"OW";;"nf";11-12-2014;;"G"
266;"RWS00149";"CONCTTE";"Li";;"OW";;"nf";11-12-2014;;"G"
267;"RWS00150";"CONCTTE";"Mn";;"OW";;"nf";11-12-2014;;"G"
268;"RWS00151";"CONCTTE";"Fe";;"OW";;"nf";11-12-2014;;"G"
269;"RWS00152";"CONCTTE";"Rb";;"OW";;"nf";11-12-2014;;"G"
270;"RWS00153";"CONCTTE";"U";;"OW";;"nf";11-12-2014;;"G"
271;"RWS00154";"CONCTTE";"Ag";;"OW";;"nf";11-12-2014;;"G"
