AquoMetadata_MessageID;Parameter_Wat_Omschrijving;Compartiment.Code;Compartiment.Omschrijving;Eenheid.Code;Eenheid.Omschrijving;Grootheid.Code;Grootheid.Omschrijving;Hoedanigheid.Code;Hoedanigheid.Omschrijving;Parameter.Code;Parameter.Omschrijving
39;Activiteitsconcentratie thallium 201 in Bodem/Sediment t.o.v. drooggewicht in Bq/kg;BS;Bodem/Sediment;Bq/kg;becquerel per kilogram;ACTVTCCTTE;Activiteitsconcentratie;dg;t.o.v. drooggewicht;Tl201;thallium 201
40;Activiteitsconcentratie thallium 208 in Bodem/Sediment t.o.v. drooggewicht in Bq/kg;BS;Bodem/Sediment;Bq/kg;becquerel per kilogram;ACTVTCCTTE;Activiteitsconcentratie;dg;t.o.v. drooggewicht;Tl208;thallium 208
41;Activiteitsconcentratie Totaal Alfa in Bodem/Sediment t.o.v. drooggewicht in Bq/kg;BS;Bodem/Sediment;Bq/kg;becquerel per kilogram;ACTVTCCTTE;Activiteitsconcentratie;dg;t.o.v. drooggewicht;TOTAFA;Totaal Alfa
42;Activiteitsconcentratie Totaal Beta in Bodem/Sediment t.o.v. drooggewicht in Bq/kg;BS;Bodem/Sediment;Bq/kg;becquerel per kilogram;ACTVTCCTTE;Activiteitsconcentratie;dg;t.o.v. drooggewicht;TOTBTA;Totaal Beta
43;Activiteitsconcentratie zink 65 in Bodem/Sediment t.o.v. drooggewicht in Bq/kg;BS;Bodem/Sediment;Bq/kg;becquerel per kilogram;ACTVTCCTTE;Activiteitsconcentratie;dg;t.o.v. drooggewicht;Zn65;zink 65
44;Drooggewicht Bodem/Sediment g;BS;Bodem/Sediment;g;gram;DG;Drooggewicht;NVT;Niet van toepassing;NVT;Waarde is niet van toepassing
45;Natgewicht Bodem/Sediment g;BS;Bodem/Sediment;g;gram;NG;Natgewicht;NVT;Niet van toepassing;NVT;Waarde is niet van toepassing
46;Massafractie calcium in Bodem/Sediment t.o.v. drooggewicht in g/kg;BS;Bodem/Sediment;g/kg;gram per kilogram;MASSFTE;Massafractie;dg;t.o.v. drooggewicht;Ca;calcium
47;Massafractie ijzer in Bodem/Sediment t.o.v. drooggewicht in g/kg;BS;Bodem/Sediment;g/kg;gram per kilogram;MASSFTE;Massafractie;dg;t.o.v. drooggewicht;Fe;ijzer
48;Massa Bodem/Sediment asvrij drooggewicht in Bathyporeia elegansmg;BS;Bodem/Sediment;mg;milligram;MASSA;Massa;adg;asvrij drooggewicht;NVT;Waarde is niet van toepassing
49;Massa Bodem/Sediment Levensstadium-Adult in Ampelisca brevicornismg;BS;Bodem/Sediment;mg;milligram;MASSA;Massa;LS-AD;Levensstadium-Adult;NVT;Waarde is niet van toepassing
50;Massa Bodem/Sediment Levensstadium-Juveniel in Anaitidesmg;BS;Bodem/Sediment;mg;milligram;MASSA;Massa;LS-JU;Levensstadium-Juveniel;NVT;Waarde is niet van toepassing
51;Massa Bodem/Sediment t.o.v. natgewicht in Capitella capitatamg;BS;Bodem/Sediment;mg;milligram;MASSA;Massa;ng;t.o.v. natgewicht;NVT;Waarde is niet van toepassing
52;Massafractie fosfor totaal in Bodem/Sediment t.o.v. drooggewicht in mg/g;BS;Bodem/Sediment;mg/g;milligram per gram;MASSFTE;Massafractie;dg;t.o.v. drooggewicht;Ptot;fosfor totaal
53;Massafractie acenafteen in Bodem/Sediment t.o.v. drooggewicht in mg/kg;BS;Bodem/Sediment;mg/kg;milligram per kilogram;MASSFTE;Massafractie;dg;t.o.v. drooggewicht;AcNe;acenafteen
54;Massafractie acenaftyleen in Bodem/Sediment t.o.v. drooggewicht in mg/kg;BS;Bodem/Sediment;mg/kg;milligram per kilogram;MASSFTE;Massafractie;dg;t.o.v. drooggewicht;AcNy;acenaftyleen
55;Massafractie zilver in Bodem/Sediment t.o.v. drooggewicht in mg/kg;BS;Bodem/Sediment;mg/kg;milligram per kilogram;MASSFTE;Massafractie;dg;t.o.v. drooggewicht;Ag;zilver
56;Massafractie aluminium in Bodem/Sediment t.o.v. drooggewicht in mg/kg;BS;Bodem/Sediment;mg/kg;milligram per kilogram;MASSFTE;Massafractie;dg;t.o.v. drooggewicht;Al;aluminium
57;Massafractie antraceen in Bodem/Sediment t.o.v. drooggewicht in mg/kg;BS;Bodem/Sediment;mg/kg;milligram per kilogram;MASSFTE;Massafractie;dg;t.o.v. drooggewicht;Ant;antraceen
58;Massafractie arseen in Bodem/Sediment t.o.v. drooggewicht in mg/kg;BS;Bodem/Sediment;mg/kg;milligram per kilogram;MASSFTE;Massafractie;dg;t.o.v. drooggewicht;As;arseen
59;Massafractie barium in Bodem/Sediment t.o.v. drooggewicht in mg/kg;BS;Bodem/Sediment;mg/kg;milligram per kilogram;MASSFTE;Massafractie;dg;t.o.v. drooggewicht;Ba;barium
60;Massafractie benzo(a)antraceen in Bodem/Sediment t.o.v. drooggewicht in mg/kg;BS;Bodem/Sediment;mg/kg;milligram per kilogram;MASSFTE;Massafractie;dg;t.o.v. drooggewicht;BaA;benzo(a)antraceen
61;Massafractie benzo(a)pyreen in Bodem/Sediment t.o.v. drooggewicht in mg/kg;BS;Bodem/Sediment;mg/kg;milligram per kilogram;MASSFTE;Massafractie;dg;t.o.v. drooggewicht;BaP;benzo(a)pyreen
62;Massafractie benzo(b)fluorantheen in Bodem/Sediment t.o.v. drooggewicht in mg/kg;BS;Bodem/Sediment;mg/kg;milligram per kilogram;MASSFTE;Massafractie;dg;t.o.v. drooggewicht;BbF;benzo(b)fluorantheen
63;Massafractie beryllium in Bodem/Sediment t.o.v. drooggewicht in mg/kg;BS;Bodem/Sediment;mg/kg;milligram per kilogram;MASSFTE;Massafractie;dg;t.o.v. drooggewicht;Be;beryllium
64;Massafractie benzo(e)pyreen in Bodem/Sediment t.o.v. drooggewicht in mg/kg;BS;Bodem/Sediment;mg/kg;milligram per kilogram;MASSFTE;Massafractie;dg;t.o.v. drooggewicht;BeP;benzo(e)pyreen
65;Massafractie benzo(ghi)peryleen in Bodem/Sediment t.o.v. drooggewicht in mg/kg;BS;Bodem/Sediment;mg/kg;milligram per kilogram;MASSFTE;Massafractie;dg;t.o.v. drooggewicht;BghiPe;benzo(ghi)peryleen
