"Id";"CASnummer";"Codes";"Omschrijving";"Groep";"Begin geldigheid";"Eind geldigheid";"Status";"Gerelateerd";"Guid"
4972;"107-74-4";"37DC1y17C8aD";"3,7-dimethyl-1,7-octaandiol";"ChemischeStof";"2013-07-18";"2014-01-20";"Vervallen";"";"Id-81ca8c0b-2250-4bef-b9f7-8a31e8168afc"
4972;"107-74-4";"37DC1y17C8aD";"3,7-dimethyl-1,7-octaandiol";"ChemischeStof";"2014-01-21";"2100-01-01";"Geldig";"";"Id-f33ae268-6769-479c-99c2-6c79a1f8fb6e"
4973;"53778-72-6";"3C1ox2C4ol";"3-methoxy-2-butanol";"ChemischeStof";"2013-07-18";"2014-01-20";"Vervallen";"";"Id-ac7763e6-1723-42ce-aac2-5fe0671608ab"
4973;"53778-72-6";"3C1ox2C4ol";"3-methoxy-2-butanol";"ChemischeStof";"2014-01-21";"2100-01-01";"Geldig";"";"Id-d9235fc3-1556-4748-aedd-777c90526d73"
4974;"105-43-1";"3C1yC5azr";"3-methylpentaanzuur";"ChemischeStof";"2013-07-18";"2014-01-20";"Vervallen";"";"Id-1356243c-fd30-49ee-a4ff-f83e19b0b2ae"
4974;"105-43-1";"3C1yC5azr";"3-methylpentaanzuur";"ChemischeStof";"2014-01-21";"2100-01-01";"Geldig";"";"Id-57c11ae0-be95-4214-aab0-9c884d48c24d"
4975;"20503-92-8";"3Fyoazldne";"3-fenyloxazolidine";"ChemischeStof";"2013-07-18";"2014-01-20";"Vervallen";"";"Id-9917f425-5927-48bf-a005-e067823dc39f"
4975;"20503-92-8";"3Fyoazldne";"3-fenyloxazolidine";"ChemischeStof";"2014-01-21";"2100-01-01";"Geldig";"";"Id-387bcc29-233a-4b0e-b0c3-0830bbd1176d"
4976;"123-11-5";"4C1oxbzAh";"4-methoxybenzaldehyde";"ChemischeStof";"2013-07-18";"2014-01-20";"Vervallen";"";"Id-e17eaf28-3def-4202-97c9-475de01b99e0"
4976;"123-11-5";"4C1oxbzAh";"4-methoxybenzaldehyde";"ChemischeStof";"2014-01-21";"2100-01-01";"Geldig";"";"Id-7862138d-1c5d-4091-bc58-830e020e25cc"
4977;"5877-42-9";"4C2y1ot3ol";"4-ethyl-1-octyn-3-ol";"ChemischeStof";"2013-07-18";"2014-01-20";"Vervallen";"";"Id-0bbee529-a120-4697-ae38-ee7cb7f2fc2d"
4977;"5877-42-9";"4C2y1ot3ol";"4-ethyl-1-octyn-3-ol";"ChemischeStof";"2014-01-21";"2100-01-01";"Geldig";"";"Id-535a2220-2872-421a-b91b-410a59a604fe"
4978;"100-23-2";"4NO2DC1yAn";"4-nitrodimethylaniline";"ChemischeStof";"2013-07-18";"2014-01-20";"Vervallen";"";"Id-5a560ca7-04ae-4f01-af79-96f026aa1c42"
4978;"100-23-2";"4NO2DC1yAn";"4-nitrodimethylaniline";"ChemischeStof";"2014-01-21";"2100-01-01";"Geldig";"";"Id-e58515a0-7928-4363-9292-485de20b7149"
4979;"570-74-1";"5choletne";"5-cholestene";"ChemischeStof";"2013-07-18";"2014-01-20";"Vervallen";"";"Id-340e7559-3787-477e-9c9a-140dd105ae6a"
4979;"570-74-1";"5choletne";"5-cholestene";"ChemischeStof";"2014-01-21";"2100-01-01";"Geldig";"";"Id-b08dd7c9-5ff2-4987-b6d2-01500dbda917"
498;"1918-13-4";"CltaAd";"chloorthiamide";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";"";"Id-8241c183-afd8-4ac7-80b1-33a0a6d7204c"
4980;"2091-29-4";"9C16ezr";"9-hexadeceenzuur";"ChemischeStof";"2013-07-18";"2014-01-20";"Vervallen";"";"Id-2630712f-15dc-4d37-a932-beb6b3fead99"
4980;"2091-29-4";"9C16ezr";"9-hexadeceenzuur";"ChemischeStof";"2014-01-21";"2100-01-01";"Geldig";"";"Id-8bf8b688-9800-4ea7-bdda-4286b9c4fba2"
4981;"5090-41-5";"9C18eal";"9-octadecenal";"ChemischeStof";"2013-07-18";"2014-01-20";"Vervallen";"";"Id-e69a6881-1638-4dbc-b3ff-0c70728f52d4"
4981;"5090-41-5";"9C18eal";"9-octadecenal";"ChemischeStof";"2014-01-21";"2100-01-01";"Geldig";"";"Id-5633ffcc-609f-4bbe-b9a8-86e61f4e5bc0"
4982;"NVT";"AANZSHD";"Aanzuigsnelheid";"Grootheid";"2013-02-07";"2014-01-20";"Vervallen";"";"Id-dddd3172-436f-4761-9f7d-3cdfbffa275c"
4982;"NVT";"AANZSHD";"Aanzuigsnelheid";"Grootheid";"2014-01-21";"2100-01-01";"Geldig";"";"Id-06199101-1cbf-4838-9f0e-705c881aad4d"
4983;"NVT";"ACTVTCCTTE";"Activiteitsconcentratie";"Grootheid";"2013-07-01";"2014-01-20";"Vervallen";"";"Id-989694aa-7d24-44db-89d4-90aa462754a5"
4983;"NVT";"ACTVTCCTTE";"Activiteitsconcentratie";"Grootheid";"2014-01-21";"2100-01-01";"Geldig";"";"Id-416f636c-4ca5-4a6a-af27-131c2bc310d4"
4984;"6419-19-8";"AoTC1yePA";"aminotrimethyleen fosfonzuur";"ChemischeStof";"2013-07-06";"2014-01-20";"Vervallen";"";"Id-d0c244ee-cd3b-4aa5-a4b5-aa56f9f991ce"
4984;"6419-19-8";"AoTC1yePA";"aminotrimethyleen fosfonzuur";"ChemischeStof";"2014-01-21";"2100-01-01";"Geldig";"";"Id-ec9ee417-2ae5-46f8-8ebc-911c3b71c5ac"
4985;"NVT";"BACTOIDBTRN";"Bacteroides bacteriën";"Object";"2013-02-12";"2014-01-20";"Vervallen";"";"Id-7710a082-f2bb-40f6-a3aa-774b46e227eb"
4985;"NVT";"BACTOIDBTRN";"Bacteroides bacteriën";"Object";"2014-01-21";"2100-01-01";"Geldig";"Id-6cdc516e-3935-4f92-9ecf-ee36d8083814";"Id-daa5dad1-85b0-41bd-83af-b509fd6e51e6"
4986;"NVT";"BEMSDOVZDE";"Bemonsterde oeverzijde";"MonstervariabeleEcologie";"2013-04-19";"2014-01-20";"Vervallen";"";"Id-d33fd5f7-b843-43fd-86e5-1f9f3023927b"
4986;"NVT";"BEMSDOVZDE";"Bemonsterde oeverzijde";"MonstervariabeleEcologie";"2014-01-21";"2018-12-07";"Vervallen";"";"Id-9068a19f-dc7d-402a-a7a2-7d3a71cc11b6"
4986;"NVT";"BEMSDOVZDE";"Bemonsterde oeverzijde";"Typering";"2018-12-08";"2100-01-01";"Geldig";"Id-76c6a8ae-ceca-4b81-ad86-4efab01e6126";"Id-e213a6b7-2772-4569-913a-43e32477a7e6"
4987;"NVT";"BIOMSA";"Biomassa";"Grootheid";"2013-03-02";"2014-01-20";"Vervallen";"";"Id-005996bd-691a-442d-bb3d-f420a79fb140"
4987;"NVT";"BIOMSA";"Biomassa";"Grootheid";"2014-01-21";"2016-11-28";"Vervallen";"";"Id-8e4f6cc4-b48a-42fa-a978-53ade3b5e42e"
4987;"NVT";"BIOMSA";"Biomassa";"Object";"2016-11-29";"2100-01-01";"Geldig";"Id-9811a30f-91e0-40bb-b604-b26d3ac880c5";"Id-8321a438-4f1b-4459-aba8-c174378157a0"
4988;"NVT";"BIOMSFTE";"Biomassafractie";"Grootheid";"2013-03-02";"2014-01-20";"Vervallen";"";"Id-b06f8312-bb51-4378-ae17-6e568faa98cd"
4988;"NVT";"BIOMSFTE";"Biomassafractie";"Grootheid";"2014-01-21";"2100-01-01";"Geldig";"";"Id-ae381778-4ecd-4689-bc98-6370c864201b"
4990;"56634-95-8";"BrOxnHpnat";"bromoxynil heptanoaat";"ChemischeStof";"2013-07-06";"2014-01-20";"Vervallen";"";"Id-25e27a0c-5056-4a31-bd7a-cb8b7f843c40"
