bodc_S27_id;nih_casnrURI;bodc_S27_altlable;CASnummer;aquo_parameter.code;aquo_parameter.omschrijving;Status
http://vocab.nerc.ac.uk/collection/S27/current/CS000697/;https://chem.nlm.nih.gov/chemidplus/rn/330-55-2;NA;330-55-2;linrn;linuron;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS000704/;https://chem.nlm.nih.gov/chemidplus/rn/18691-97-9;NA;18691-97-9;metbtazrn;metabenzthiazuron;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS000711/;https://chem.nlm.nih.gov/chemidplus/rn/67-56-1;CH3OH;67-56-1;C1ol;methanol;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS000718/;https://chem.nlm.nih.gov/chemidplus/rn/93-65-2;mecoprop;93-65-2;MCPP;mecoprop;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS000718/;https://chem.nlm.nih.gov/chemidplus/rn/93-65-2;mecoprop;93-65-2;MCPP;mecoprop;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS000725/;https://chem.nlm.nih.gov/chemidplus/rn/74223-64-6;NA;74223-64-6;C1ymsfrn;methyl-metsulfuron;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS000732/;https://chem.nlm.nih.gov/chemidplus/rn/7786-34-7;NA;7786-34-7;mevfs;mevinfos;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS000739/;https://chem.nlm.nih.gov/chemidplus/rn/1746-81-2;NA;1746-81-2;Mlnrn;monolinuron;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS000753/;https://chem.nlm.nih.gov/chemidplus/rn/629-92-5;C19H40 C19_n-alkane;629-92-5;C19a;nonadecaan;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS000753/;https://chem.nlm.nih.gov/chemidplus/rn/629-92-5;C19H40 C19_n-alkane;629-92-5;C19a;nonadecaan;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS000760/;https://chem.nlm.nih.gov/chemidplus/rn/630-02-4;C28H58 C28_n-alkane;630-02-4;C28a;octacosaan;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS000760/;https://chem.nlm.nih.gov/chemidplus/rn/630-02-4;C28H58 C28_n-alkane;630-02-4;C28a;octacosaan;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS000774/;https://chem.nlm.nih.gov/chemidplus/rn/593-45-3;C18H38 C18_n-alkane;593-45-3;C18a;octadecaan;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS000774/;https://chem.nlm.nih.gov/chemidplus/rn/593-45-3;C18H38 C18_n-alkane;593-45-3;C18a;octadecaan;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS000781/;https://chem.nlm.nih.gov/chemidplus/rn/56-38-2;NA;56-38-2;C2yprton;ethylparathion;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS000788/;https://chem.nlm.nih.gov/chemidplus/rn/629-99-2;C25H52 C25_n-alkane;629-99-2;C25a;pentacosaan;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS000788/;https://chem.nlm.nih.gov/chemidplus/rn/629-99-2;C25H52 C25_n-alkane;629-99-2;C25a;pentacosaan;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS000802/;https://chem.nlm.nih.gov/chemidplus/rn/1002-84-2;C15:0FA pentadecylic acid;1002-84-2;C15azr;pentadecaanzuur;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS000809/;https://chem.nlm.nih.gov/chemidplus/rn/23103-98-2;NA;23103-98-2;pirmcb;pirimicarb;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS000816/;https://chem.nlm.nih.gov/chemidplus/rn/139-40-2;NA;139-40-2;propzne;propazine;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS000823/;https://chem.nlm.nih.gov/chemidplus/rn/31218-83-4;NA;31218-83-4;proptfs;propetamfos;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS000830/;https://chem.nlm.nih.gov/chemidplus/rn/96489-71-3;NA;96489-71-3;pyrdbn;pyridaben;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS000837/;https://chem.nlm.nih.gov/chemidplus/rn/122-34-9;NA;122-34-9;simzne;simazine;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS000844/;https://chem.nlm.nih.gov/chemidplus/rn/24019-05-4;NA;24019-05-4;sulcfrn;sulcofuron;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS000851/;https://chem.nlm.nih.gov/chemidplus/rn/886-50-0;NA;886-50-0;terbtn;terbutrin;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS000858/;https://chem.nlm.nih.gov/chemidplus/rn/5915-41-3;TBA;5915-41-3;terC4yazne;terbutylazine;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS000858/;https://chem.nlm.nih.gov/chemidplus/rn/5915-41-3;TBA;5915-41-3;terC4yazne;terbutylazine;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS000865/;https://chem.nlm.nih.gov/chemidplus/rn/646-31-1;C24H50 C24_n-alkane;646-31-1;C24a;tetracosaan;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS000865/;https://chem.nlm.nih.gov/chemidplus/rn/646-31-1;C24H50 C24_n-alkane;646-31-1;C24a;tetracosaan;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS000872/;https://chem.nlm.nih.gov/chemidplus/rn/112-72-1;C14 alkanol myristyl alcohol;112-72-1;1C14ol;1-tetradecanol;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS000879/;https://chem.nlm.nih.gov/chemidplus/rn/544-63-8;C14:0FA myristic acid;544-63-8;C14azr;tetradecaanzuur;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS000893/;https://chem.nlm.nih.gov/chemidplus/rn/57018-04-9;NA;57018-04-9;tolcfsC1y;tolclofos-methyl;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS000900/;https://chem.nlm.nih.gov/chemidplus/rn/112-79-8;elaidic acid C18:1FA tr-9;112-79-8;t9C18ezr;trans-9-octadeceenzuur;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS000907/;https://chem.nlm.nih.gov/chemidplus/rn/638-68-6;C30H62 C30_n-alkane;638-68-6;C30a;triacontaan;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS000907/;https://chem.nlm.nih.gov/chemidplus/rn/638-68-6;C30H62 C30_n-alkane;638-68-6;C30a;triacontaan;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS000928/;https://chem.nlm.nih.gov/chemidplus/rn/638-67-5;C23H48 C23_n-alkane;638-67-5;C23a;tricosaan;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS000928/;https://chem.nlm.nih.gov/chemidplus/rn/638-67-5;C23H48 C23_n-alkane;638-67-5;C23a;tricosaan;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS000942/;https://chem.nlm.nih.gov/chemidplus/rn/75-34-3;NA;75-34-3;11DClC2a;1,1-dichloorethaan;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS000949/;https://chem.nlm.nih.gov/chemidplus/rn/87-61-6;1,2,3-TCB;87-61-6;123TClBen;1,2,3-trichloorbenzeen;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS000956/;https://chem.nlm.nih.gov/chemidplus/rn/120-82-1;1,2,4-TCB;120-82-1;124TClBen;1,2,4-trichloorbenzeen;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS000963/;https://chem.nlm.nih.gov/chemidplus/rn/95-47-6;1,2-xylene o-xylene;95-47-6;12xyln;1,2-xyleen;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS000963/;https://chem.nlm.nih.gov/chemidplus/rn/95-47-6;1,2-xylene o-xylene;95-47-6;12xyln;1,2-xyleen;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS000970/;https://chem.nlm.nih.gov/chemidplus/rn/108-70-3;1,3,5-TCB;108-70-3;135TClBen;1,3,5-trichloorbenzeen;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS000991/;https://chem.nlm.nih.gov/chemidplus/rn/207122-16-5;BDE183;207122-16-5;PBDE183;2,2',3,4,4',5',6-heptabroomdifenylether;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS000998/;https://chem.nlm.nih.gov/chemidplus/rn/68631-49-2;BDE153;68631-49-2;PBDE153;2,2',4,4',5,5'-hexabroomdifenylether;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS001005/;https://chem.nlm.nih.gov/chemidplus/rn/207122-15-4;BDE154;207122-15-4;PBDE154;2,2',4,4',5,6'-hexabroomdifenylether;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS001012/;https://chem.nlm.nih.gov/chemidplus/rn/60348-60-9;BDE99;60348-60-9;PBDE99;2,2',4,4',5-pentabroomdifenylether;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS001019/;https://chem.nlm.nih.gov/chemidplus/rn/33979-03-2;PCB155;33979-03-2;PCB155;2,2',4,4',6,6'-hexachloorbifenyl;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS001019/;https://chem.nlm.nih.gov/chemidplus/rn/33979-03-2;PCB155;33979-03-2;PCB155;2,2',4,4',6,6'-hexachloorbifenyl;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS001026/;https://chem.nlm.nih.gov/chemidplus/rn/5436-43-1;BDE47;5436-43-1;PBDE47;2,2',4,4'-tetrabroomdifenylether;Geldig
