speciesname_original;modified;speciesname_corrected;identificationQualifier;author;AphiaID;Match type;LSID;TSN;ScientificName;Authority;Qualitystatus;Taxon status;AphiaID_accepted;ScientificName_accepted;Authority_accepted;Kingdom;Phylum;Class;Order;Family;Genus;Subgenus;Species;Subspecies;isMarine;isBrackish;isFresh;isTerrestrial;Citation;Citation;Citation;Citation;Citation;Citation;Citation;Citation;Citation;Citation;Citation;Citation;Citation;Citation;Citation;Citation;Citation;Citation;Citation;Citation;Citation;Citation
Katodinium glaucum;exact;Katodinium glaucum;;;109885;exact;urn:lsid:marinespecies.org:taxname:109885;10105;Katodinium glaucum;(Lebour) Loeblich III, 1965;Checked by Taxonomic Editor;accepted;109885;Katodinium glaucum;(Lebour) Loeblich III, 1965;Chromista;Myzozoa;Dinophyceae;Tovelliales;Tovelliaceae;Katodinium;;glaucum;;1;;;;Guiry, M.D. & Guiry, G.M. (2020). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Katodinium glaucum (Lebour) Loeblich III, 1965. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=109885 on 2020-06-10;;;;;;;;;;;;;;;;;;;;;
Khakista;exact;Khakista;;;576884;exact;urn:lsid:marinespecies.org:taxname:576884;;Khakista;;Checked by Taxonomic Editor;accepted;576884;Khakista;;Chromista;Ochrophyta;;;;;;;;;;;;WoRMS (2020). Khakista. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=576884 on 2020-06-10;;;;;;;;;;;;;;;;;;;;;
Kirchneriella;exact;Kirchneriella;;;163108;exact;urn:lsid:marinespecies.org:taxname:163108;5895;Kirchneriella;Schmidle, 1893;Checked by Taxonomic Editor;accepted;163108;Kirchneriella;Schmidle, 1893;Plantae;Chlorophyta;Chlorophyceae;Sphaeropleales;Selenastraceae;Kirchneriella;;;;;;;;Guiry, M.D. & Guiry, G.M. (2020). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Kirchneriella Schmidle, 1893. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=163108 on 2020-06-10;;;;;;;;;;;;;;;;;;;;;
Koliella;exact;Koliella;;;160588;exact;urn:lsid:marinespecies.org:taxname:160588;;Koliella;Hindák, 1963;Checked by Taxonomic Editor;accepted;160588;Koliella;Hindák, 1963;Plantae;Chlorophyta;Trebouxiophyceae;Prasiolales;Koliellaceae;Koliella;;;;;;;;Guiry, M.D. & Guiry, G.M. (2020). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Koliella Hindák, 1963. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=160588 on 2020-06-10;;;;;;;;;;;;;;;;;;;;;
Koliella longiseta;exact;Koliella longiseta;;;248126;exact;urn:lsid:marinespecies.org:taxname:248126;;Koliella longiseta;(Vischer) Hindák, 1963;Checked by Taxonomic Editor;accepted;248126;Koliella longiseta;(Vischer) Hindák, 1963;Plantae;Chlorophyta;Trebouxiophyceae;Prasiolales;Koliellaceae;Koliella;;longiseta;;0;0;1;;Guiry, M.D. & Guiry, G.M. (2020). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Koliella longiseta (Vischer) Hindák, 1963. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=248126 on 2020-06-10;;;;;;;;;;;;;;;;;;;;;
Koliella planctonica;exact;Koliella planctonica;;;647495;exact;urn:lsid:marinespecies.org:taxname:647495;;Koliella planctonica;Hindák, 1963;Checked by Taxonomic Editor;unaccepted;1311147;Raphidonema planctonicum;(Hindák) Hoham, 1973;Plantae;Chlorophyta;Trebouxiophyceae;Prasiolales;Koliellaceae;Koliella;;planctonica;;;;1;;Guiry, M.D. & Guiry, G.M. (2020). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Koliella planctonica Hindák, 1963. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=647495 on 2020-06-10;;;;;;;;;;;;;;;;;;;;;
Kryptoperidinium foliaceum;exact;Kryptoperidinium foliaceum;;;110154;exact;urn:lsid:marinespecies.org:taxname:110154;10353;Kryptoperidinium foliaceum;(F.Stein) Lindemann, 1924;Checked by Taxonomic Editor;accepted;110154;Kryptoperidinium foliaceum;(F.Stein) Lindemann, 1924;Chromista;Myzozoa;Dinophyceae;Peridiniales;Peridiniaceae;Kryptoperidinium;;foliaceum;;1;;;;Guiry, M.D. & Guiry, G.M. (2020). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Kryptoperidinium foliaceum (F.Stein) Lindemann, 1924. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=110154 on 2020-06-10;;;;;;;;;;;;;;;;;;;;;
Lagerheimia;exact;Lagerheimia;;;178609;exact;urn:lsid:marinespecies.org:taxname:178609;;Lagerheimia;R.Chodat, 1895;Checked by Taxonomic Editor;accepted;178609;Lagerheimia;R.Chodat, 1895;Plantae;Chlorophyta;Trebouxiophyceae;Chlorellales;Oocystaceae;Lagerheimia;;;;;;;;Guiry, M.D. & Guiry, G.M. (2020). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Lagerheimia R.Chodat, 1895. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=178609 on 2020-06-10;;;;;;;;;;;;;;;;;;;;;
Lagerheimia genevensis;exact;Lagerheimia genevensis;;;178610;exact;urn:lsid:marinespecies.org:taxname:178610;6019;Lagerheimia genevensis;(Chodat) Chodat, 1895;Checked by Taxonomic Editor;accepted;178610;Lagerheimia genevensis;(Chodat) Chodat, 1895;Plantae;Chlorophyta;Trebouxiophyceae;Chlorellales;Oocystaceae;Lagerheimia;;genevensis;;0;0;1;0;Guiry, M.D. & Guiry, G.M. (2020). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Lagerheimia genevensis (Chodat) Chodat, 1895. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=178610 on 2020-06-10;;;;;;;;;;;;;;;;;;;;;
Lauderia annulata;exact;Lauderia annulata;;;149135;exact;urn:lsid:marinespecies.org:taxname:149135;2533;Lauderia annulata;Cleve, 1873;Edited by Database Management Team;uncertain;149135;Lauderia annulata;Cleve, 1873;Chromista;Ochrophyta;Bacillariophyceae;Thalassiosirales;Lauderiaceae;Lauderia;;annulata;;1;;;;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2020). DiatomBase. Lauderia annulata Cleve, 1873. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=149135 on 2020-06-10;;
Lebouraia minuta;exact;Lebouraia minuta;;;110204;exact;urn:lsid:marinespecies.org:taxname:110204;;Lebouraia minuta;T.H.Abé, 1941;Checked by Taxonomic Editor;accepted;110204;Lebouraia minuta;T.H.Abé, 1941;Chromista;Myzozoa;Dinophyceae;Peridiniales;Protoperidiniaceae;Lebouraia;;minuta;;1;;;0;Guiry, M.D. & Guiry, G.M. (2020). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Lebouraia minuta T.H.Abé, 1941. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=110204 on 2020-06-10;;;;;;;;;;;;;;;;;;;;;
Lebouraia pusilla;exact;Lebouraia pusilla;;;233635;exact;urn:lsid:marinespecies.org:taxname:233635;;Lebouraia pusilla;(Balech & R.Akselman) J.D.Dodge & S.Toriumi, 1993;Checked by Taxonomic Editor;unaccepted;110134;Diplopelta pusilla;Balech & R.Akselman, 1988;Chromista;Myzozoa;Dinophyceae;Peridiniales;Protoperidiniaceae;Lebouraia;;pusilla;;1;;;;Guiry, M.D. & Guiry, G.M. (2020). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Lebouraia pusilla (Balech & R.Akselman) J.D.Dodge & S.Toriumi, 1993. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=233635 on 2020-06-10;;;;;;;;;;;;;;;;;;;;;
Lennoxia faveolata;exact;Lennoxia faveolata;;;549205;exact;urn:lsid:marinespecies.org:taxname:549205;;Lennoxia faveolata;H.A.Thomsen & K.R.Buck, 1993;Edited by Database Management Team;uncertain;549205;Lennoxia faveolata;H.A.Thomsen & K.R.Buck, 1993;Chromista;Ochrophyta;Bacillariophyceae;Cymatosirales;Cymatosiraceae;Lennoxia;;faveolata;;1;;;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2020). DiatomBase. Lennoxia faveolata H.A.Thomsen & K.R.Buck, 1993. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=549205 on 2020-06-10;;
Lepidodinium chlorophorum;exact;Lepidodinium chlorophorum;;;345481;exact;urn:lsid:marinespecies.org:taxname:345481;;Lepidodinium chlorophorum;(M.Elbrächter & E.Schnepf) Gert Hansen, Botes & Salas, 2007;Checked by Taxonomic Editor;accepted;345481;Lepidodinium chlorophorum;(M.Elbrächter & E.Schnepf) Gert Hansen, Botes & Salas, 2007;Chromista;Myzozoa;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Lepidodinium;;chlorophorum;;1;;;;Guiry, M.D. & Guiry, G.M. (2020). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Lepidodinium chlorophorum (M.Elbrächter & E.Schnepf) Gert Hansen, Botes & Salas, 2007. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=345481 on 2020-06-10;;;;;;;;;;;;;;;;;;;;;
Leptocylindraceae;exact;Leptocylindraceae;;;149037;exact;urn:lsid:marinespecies.org:taxname:149037;590820;Leptocylindraceae;Lebour, 1930;Edited by Database Management Team;accepted;149037;Leptocylindraceae;Lebour, 1930;Chromista;Ochrophyta;Bacillariophyceae;Leptocylindrales;Leptocylindraceae;;;;;1;;;;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2020). DiatomBase. Leptocylindraceae Lebour, 1930. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=149037 on 2020-06-10;;
Leptocylindrus;exact;Leptocylindrus;;;149038;exact;urn:lsid:marinespecies.org:taxname:149038;2394;Leptocylindrus;P.T. Cleve in C.G.J. Petersen, 1889;Edited by Database Management Team;accepted;149038;Leptocylindrus;P.T. Cleve in C.G.J. Petersen, 1889;Chromista;Ochrophyta;Bacillariophyceae;Leptocylindrales;Leptocylindraceae;Leptocylindrus;;;;1;;;;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2020). DiatomBase. Leptocylindrus P.T. Cleve in C.G.J. Petersen, 1889. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=149038 on 2020-06-10;;
Leptocylindrus mediterraneus;exact;Leptocylindrus mediterraneus;;;149230;exact;urn:lsid:marinespecies.org:taxname:149230;573636;Leptocylindrus mediterraneus;(H.Peragallo) Hasle, 1975;Edited by Database Management Team;alternate representation;163261;Lauderia mediterranea;H.Peragallo, 1888;Chromista;Ochrophyta;Bacillariophyceae;Leptocylindrales;Leptocylindraceae;Leptocylindrus;;mediterraneus;;1;;;;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2020). DiatomBase. Leptocylindrus mediterraneus (H.Peragallo) Hasle, 1975. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=149230 on 2020-06-10;;
Lessardia elongata;exact;Lessardia elongata;;;232703;exact;urn:lsid:marinespecies.org:taxname:232703;;Lessardia elongata;Saldarriaga & F.J.R.Taylor, 2003;Checked by Taxonomic Editor;accepted;232703;Lessardia elongata;Saldarriaga & F.J.R.Taylor, 2003;Chromista;Myzozoa;Dinophyceae;Peridiniales;Lessardiaceae;Lessardia;;elongata;;1;;;;Guiry, M.D. & Guiry, G.M. (2020). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Lessardia elongata Saldarriaga & F.J.R.Taylor, 2003. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=232703 on 2020-06-10;;;;;;;;;;;;;;;;;;;;;
Leucocryptos marina;exact;Leucocryptos marina;;;119077;exact;urn:lsid:marinespecies.org:taxname:119077;10669;Leucocryptos marina;(Braarud) Butcher, 1967;Checked by Taxonomic Editor;accepted;119077;Leucocryptos marina;(Braarud) Butcher, 1967;Chromista;Cryptophyta;Cryptophyta incertae sedis;;Katablepharidaceae;Leucocryptos;;marina;;1;;;;Guiry, M.D. & Guiry, G.M. (2020). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Leucocryptos marina (Braarud) Butcher, 1967. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=119077 on 2020-06-10;;;;;;;;;;;;;;;;;;;;;
Licmophora;exact;Licmophora;;;149342;exact;urn:lsid:marinespecies.org:taxname:149342;3155;Licmophora;C.A. Agardh, 1827;Edited by Database Management Team;accepted;149342;Licmophora;C.A. Agardh, 1827;Chromista;Ochrophyta;Bacillariophyceae;Licmophorales;Licmophoraceae;Licmophora;;;;1;;;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2020). DiatomBase. Licmophora C.A. Agardh, 1827. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=149342 on 2020-06-10;;
Limnothrix;exact;Limnothrix;;;177506;exact;urn:lsid:marinespecies.org:taxname:177506;;Limnothrix;Meffert, 1987;Checked by Taxonomic Editor;accepted;177506;Limnothrix;Meffert, 1987;Bacteria;Cyanobacteria;Cyanophyceae;Synechococcales;Pseudanabaenaceae;Limnothrix;;;;1;;;;Guiry, M.D. & Guiry, G.M. (2020). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Limnothrix Meffert, 1987. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=177506 on 2020-06-10;;;;;;;;;;;;;;;;;;;;;
Limnothrix redekei;exact;Limnothrix redekei;;;177508;exact;urn:lsid:marinespecies.org:taxname:177508;;Limnothrix redekei;(Goor) Meffert, 1988;Checked by Taxonomic Editor;accepted;177508;Limnothrix redekei;(Goor) Meffert, 1988;Bacteria;Cyanobacteria;Cyanophyceae;Synechococcales;Pseudanabaenaceae;Limnothrix;;redekei;;0;0;1;;Guiry, M.D. & Guiry, G.M. (2020). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Limnothrix redekei (Goor) Meffert, 1988. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=177508 on 2020-06-10;;;;;;;;;;;;;;;;;;;;;
Lithodesmium undulatum;exact;Lithodesmium undulatum;;;149322;exact;urn:lsid:marinespecies.org:taxname:149322;2925;Lithodesmium undulatum;Ehrenberg, 1839;Edited by Database Management Team;uncertain;149322;Lithodesmium undulatum;Ehrenberg, 1839;Chromista;Ochrophyta;Bacillariophyceae;Lithodesmiales;Lithodesmiaceae;Lithodesmium;;undulatum;;1;;;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2020). DiatomBase. Lithodesmium undulatum Ehrenberg, 1839. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=149322 on 2020-06-10;;
Mallomonas;exact;Mallomonas;;;249721;exact;urn:lsid:marinespecies.org:taxname:249721;1598;Mallomonas;Perty, 1852;Checked by Taxonomic Editor;accepted;249721;Mallomonas;Perty, 1852;Chromista;Ochrophyta;Synurophyceae;Synurales;Mallomonadaceae;Mallomonas;;;;1;;1;;Guiry, M.D. & Guiry, G.M. (2020). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Mallomonas Perty, 1852. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=249721 on 2020-06-10;;;;;;;;;;;;;;;;;;;;;
Mallomonas akrokomos;exact;Mallomonas akrokomos;;;249722;exact;urn:lsid:marinespecies.org:taxname:249722;;Mallomonas akrokomos;Ruttner, 1913;Checked by Taxonomic Editor;accepted;249722;Mallomonas akrokomos;Ruttner, 1913;Chromista;Ochrophyta;Synurophyceae;Synurales;Mallomonadaceae;Mallomonas;;akrokomos;;0;0;1;0;Guiry, M.D. & Guiry, G.M. (2020). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Mallomonas akrokomos Ruttner, 1913. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=249722 on 2020-06-10;;;;;;;;;;;;;;;;;;;;;
Mamiella gilva;exact;Mamiella gilva;;;134562;exact;urn:lsid:marinespecies.org:taxname:134562;;Mamiella gilva;(Parke & Rayns) Ø.Moestrup, 1984;Checked by Taxonomic Editor;accepted;134562;Mamiella gilva;(Parke & Rayns) Ø.Moestrup, 1984;Plantae;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Mamiella;;gilva;;1;;;;Guiry, M.D. & Guiry, G.M. (2020). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Mamiella gilva (Parke & Rayns) Ø.Moestrup, 1984. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=134562 on 2020-06-10;;;;;;;;;;;;;;;;;;;;;
Mantoniella squamata;exact;Mantoniella squamata;;;134563;exact;urn:lsid:marinespecies.org:taxname:134563;;Mantoniella squamata;(Manton & Parke) Desikachary, 1972;Checked by Taxonomic Editor;accepted;134563;Mantoniella squamata;(Manton & Parke) Desikachary, 1972;Plantae;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Mantoniella;;squamata;;1;;;;Guiry, M.D. & Guiry, G.M. (2020). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Mantoniella squamata (Manton & Parke) Desikachary, 1972. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=134563 on 2020-06-10;;;;;;;;;;;;;;;;;;;;;
Marvania geminata;exact;Marvania geminata;;;613078;exact;urn:lsid:marinespecies.org:taxname:613078;;Marvania geminata;Hindák, 1976;Checked by Taxonomic Editor;accepted;613078;Marvania geminata;Hindák, 1976;Plantae;Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae;Marvania;;geminata;;0;0;1;1;Guiry, M.D. & Guiry, G.M. (2020). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Marvania geminata Hindák, 1976. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=613078 on 2020-06-10;;;;;;;;;;;;;;;;;;;;;
Mediopyxis helysia;exact;Mediopyxis helysia;;;345485;exact;urn:lsid:marinespecies.org:taxname:345485;;Mediopyxis helysia;Kühn, Hargreaves & Halliger, 2006;Checked by Taxonomic Editor;accepted;345485;Mediopyxis helysia;Kühn, Hargreaves & Halliger, 2006;Chromista;Ochrophyta;Khakista incertae sedis;;;Mediopyxis;;helysia;;1;;;;Guiry, M.D. & Guiry, G.M. (2020). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Mediopyxis helysia Kühn, Hargreaves & Halliger, 2006. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=345485 on 2020-06-10;;;;;;;;;;;;;;;;;;;;;
Melosira;exact;Melosira;;;149042;exact;urn:lsid:marinespecies.org:taxname:149042;2290;Melosira;C.A. Agardh, 1824;Checked by Taxonomic Editor;accepted;149042;Melosira;C.A. Agardh, 1824;Chromista;Ochrophyta;Bacillariophyceae;Melosirales;Melosiraceae;Melosira;;;;1;1;1;1;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2020). DiatomBase. Melosira C.A. Agardh, 1824. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=149042 on 2020-06-10;;
Melosira moniliformis;exact;Melosira moniliformis;;;418547;exact;urn:lsid:marinespecies.org:taxname:418547;2293;Melosira moniliformis;(O.F.Müller) C.Agardh, 1824;Edited by Database Management Team;uncertain;418547;Melosira moniliformis;(O.F.Müller) C.Agardh, 1824;Chromista;Ochrophyta;Bacillariophyceae;Melosirales;Melosiraceae;Melosira;;moniliformis;;1;0;1;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2020). DiatomBase. Melosira moniliformis (O.F.Müller) C.Agardh, 1824. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=418547 on 2020-06-10;;
Melosira varians;exact;Melosira varians;;;149043;exact;urn:lsid:marinespecies.org:taxname:149043;2339;Melosira varians;C.Agardh, 1827;Checked by Taxonomic Editor;accepted;149043;Melosira varians;C.Agardh, 1827;Chromista;Ochrophyta;Bacillariophyceae;Melosirales;Melosiraceae;Melosira;;varians;;0;0;1;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2020). DiatomBase. Melosira varians C.Agardh, 1827. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=149043 on 2020-06-10;;
Meringosphaera;exact;Meringosphaera;;;115075;exact;urn:lsid:marinespecies.org:taxname:115075;1938;Meringosphaera;Lohmann, 1903;Checked by Taxonomic Editor;accepted;115075;Meringosphaera;Lohmann, 1903;Chromista;Ochrophyta;Xanthophyceae;Mischococcales;Pleurochloridaceae;Meringosphaera;;;;1;;;;Guiry, M.D. & Guiry, G.M. (2020). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Meringosphaera Lohmann, 1903. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=115075 on 2020-06-10;;;;;;;;;;;;;;;;;;;;;
Merismopedia;exact;Merismopedia;;;146545;exact;urn:lsid:marinespecies.org:taxname:146545;727;Merismopedia;Meyen, 1839;Checked by Taxonomic Editor;accepted;146545;Merismopedia;Meyen, 1839;Bacteria;Cyanobacteria;Cyanophyceae;Synechococcales;Merismopediaceae;Merismopedia;;;;1;;;;Guiry, M.D. & Guiry, G.M. (2020). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Merismopedia Meyen, 1839. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=146545 on 2020-06-10;;;;;;;;;;;;;;;;;;;;;
Merismopedia minutissima;exact;Merismopedia minutissima;;;625000;exact;urn:lsid:marinespecies.org:taxname:625000;;Merismopedia minutissima;Joosten, 2006;Checked by Taxonomic Editor;accepted;625000;Merismopedia minutissima;Joosten, 2006;Bacteria;Cyanobacteria;Cyanophyceae;Synechococcales;Merismopediaceae;Merismopedia;;minutissima;;0;0;1;;Guiry, M.D. & Guiry, G.M. (2020). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Merismopedia minutissima Joosten, 2006. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=625000 on 2020-06-10;;;;;;;;;;;;;;;;;;;;;
